,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
22,1.0,0.36000000000000004,0.68,[0.   0.68 1.  ],[0.   0.32 1.  ],2,2
23,1.0,0.592,0.7803030303030303,[0.    0.824 1.   ],[0.    0.232 1.   ],3,2
24,1.0,0.52,0.7272727272727273,[0.    0.832 1.   ],[0.    0.312 1.   ],4,2
25,1.0,0.592,0.8490566037735849,[0.   0.72 1.  ],[0.    0.128 1.   ],5,2
26,1.0,0.528,0.7661290322580645,[0.   0.76 1.  ],[0.    0.232 1.   ],6,2
27,1.0,0.544,0.788135593220339,[0.    0.744 1.   ],[0.  0.2 1. ],7,2
28,1.0,0.5439999999999999,0.820754716981132,[0.    0.696 1.   ],[0.    0.152 1.   ],8,2
29,1.0,0.39999999999999997,0.7551020408163265,[0.    0.592 1.   ],[0.    0.192 1.   ],9,2
30,1.5,0.544,0.7833333333333333,[0.    0.752 1.   ],[0.    0.208 1.   ],0,2
31,1.5,0.43200000000000005,0.7410714285714286,[0.    0.664 1.   ],[0.    0.232 1.   ],1,2
32,1.5,0.48,0.734375,[0.    0.752 1.   ],[0.    0.272 1.   ],2,2
33,1.5,0.47200000000000003,0.7185185185185184,[0.    0.776 1.   ],[0.    0.304 1.   ],3,2
34,1.5,0.408,0.704,[0.    0.704 1.   ],[0.    0.296 1.   ],4,2
35,1.5,0.6080000000000001,0.8064516129032259,[0.  0.8 1. ],[0.    0.192 1.   ],5,2
36,1.5,0.48800000000000004,0.7259259259259259,[0.    0.784 1.   ],[0.    0.296 1.   ],6,2
37,1.5,0.536,0.7815126050420168,[0.    0.744 1.   ],[0.    0.208 1.   ],7,2
38,1.5,0.536,0.7248322147651007,[0.    0.864 1.   ],[0.    0.328 1.   ],8,2
39,1.5,0.28800000000000003,0.6475409836065574,[0.    0.632 1.   ],[0.    0.344 1.   ],9,2
40,2.0,0.43200000000000005,0.7410714285714286,[0.    0.664 1.   ],[0.    0.232 1.   ],0,2
41,2.0,0.576,0.8529411764705882,[0.    0.696 1.   ],[0.   0.12 1.  ],1,2
42,2.0,0.44000000000000006,0.6923076923076923,[0.    0.792 1.   ],[0.    0.352 1.   ],2,2
43,2.0,0.34400000000000003,0.6405228758169935,[0.    0.784 1.   ],[0.   0.44 1.  ],3,2
44,2.0,0.40800000000000003,0.7428571428571429,[0.    0.624 1.   ],[0.    0.216 1.   ],4,2
45,2.0,0.5359999999999999,0.8073394495412843,[0.    0.704 1.   ],[0.    0.168 1.   ],5,2
46,2.0,0.4159999999999999,0.7131147540983607,[0.    0.696 1.   ],[0.   0.28 1.  ],6,2
47,2.0,0.39199999999999996,0.7474747474747474,[0.    0.592 1.   ],[0.  0.2 1. ],7,2
48,2.0,0.512,0.7711864406779662,[0.    0.728 1.   ],[0.    0.216 1.   ],8,2
49,2.0,0.32,0.6315789473684211,[0.    0.768 1.   ],[0.    0.448 1.   ],9,2
50,2.5,0.36000000000000004,0.653061224489796,[0.    0.768 1.   ],[0.    0.408 1.   ],0,2
51,2.5,0.36799999999999994,0.6825396825396824,[0.    0.688 1.   ],[0.   0.32 1.  ],1,2
52,2.5,0.39999999999999997,0.6865671641791045,[0.    0.736 1.   ],[0.    0.336 1.   ],2,2
53,2.5,0.312,0.6326530612244898,[0.    0.744 1.   ],[0.    0.432 1.   ],3,2
54,2.5,0.44799999999999995,0.7295081967213115,[0.    0.712 1.   ],[0.    0.264 1.   ],4,2
55,2.5,0.408,0.7073170731707317,[0.    0.696 1.   ],[0.    0.288 1.   ],5,2
56,2.5,0.52,0.7443609022556391,[0.    0.792 1.   ],[0.    0.272 1.   ],6,2
57,2.5,0.36000000000000004,0.6470588235294118,[0.    0.792 1.   ],[0.    0.432 1.   ],7,2
58,2.5,0.48,0.7678571428571429,[0.    0.688 1.   ],[0.    0.208 1.   ],8,2
59,2.5,0.408,0.6666666666666666,[0.    0.816 1.   ],[0.    0.408 1.   ],9,2
60,3.0,0.488,0.7046979865771812,[0.   0.84 1.  ],[0.    0.352 1.   ],0,2
61,3.0,0.36800000000000005,0.6885245901639345,[0.    0.672 1.   ],[0.    0.304 1.   ],1,2
62,3.0,0.584,0.8613861386138614,[0.    0.696 1.   ],[0.    0.112 1.   ],2,2
63,3.0,0.39200000000000007,0.6601307189542485,[0.    0.808 1.   ],[0.    0.416 1.   ],3,2
64,3.0,0.368,0.7053571428571429,[0.    0.632 1.   ],[0.    0.264 1.   ],4,2
65,3.0,0.368,0.6642857142857143,[0.    0.744 1.   ],[0.    0.376 1.   ],5,2
66,3.0,0.64,0.7985074626865671,[0.    0.856 1.   ],[0.    0.216 1.   ],6,2
67,3.0,0.47200000000000003,0.7185185185185184,[0.    0.776 1.   ],[0.    0.304 1.   ],7,2
68,3.0,0.528,0.7578125,[0.    0.776 1.   ],[0.    0.248 1.   ],8,2
69,3.0,0.40800000000000003,0.6783216783216782,[0.    0.776 1.   ],[0.    0.368 1.   ],9,2
70,3.5,0.536,0.7481481481481481,[0.    0.808 1.   ],[0.    0.272 1.   ],0,2
71,3.5,0.488,0.8144329896907216,[0.    0.632 1.   ],[0.    0.144 1.   ],1,2
72,3.5,0.352,0.6692307692307692,[0.    0.696 1.   ],[0.    0.344 1.   ],2,2
73,3.5,0.40800000000000003,0.7297297297297297,[0.    0.648 1.   ],[0.   0.24 1.  ],3,2
74,3.5,0.304,0.6266666666666667,[0.    0.752 1.   ],[0.    0.448 1.   ],4,2
75,3.5,0.384,0.6666666666666666,[0.    0.768 1.   ],[0.    0.384 1.   ],5,2
76,3.5,0.3440000000000001,0.7263157894736842,[0.    0.552 1.   ],[0.    0.208 1.   ],6,2
77,3.5,0.46399999999999997,0.75,[0.    0.696 1.   ],[0.    0.232 1.   ],7,2
78,3.5,0.44799999999999995,0.7372881355932204,[0.    0.696 1.   ],[0.    0.248 1.   ],8,2
79,3.5,0.38399999999999995,0.6846153846153845,[0.    0.712 1.   ],[0.    0.328 1.   ],9,2
80,5.0,0.384,0.6643835616438355,[0.    0.776 1.   ],[0.    0.392 1.   ],0,2
81,5.0,0.384,0.6690140845070421,[0.   0.76 1.  ],[0.    0.376 1.   ],1,2
82,5.0,0.36799999999999994,0.6455696202531646,[0.    0.816 1.   ],[0.    0.448 1.   ],2,2
83,5.0,0.34400000000000003,0.6747967479674797,[0.    0.664 1.   ],[0.   0.32 1.  ],3,2
84,5.0,0.5760000000000001,0.8050847457627119,[0.   0.76 1.  ],[0.    0.184 1.   ],4,2
85,5.0,0.43200000000000005,0.7327586206896551,[0.   0.68 1.  ],[0.    0.248 1.   ],5,2
86,5.0,0.40800000000000003,0.6834532374100719,[0.   0.76 1.  ],[0.    0.352 1.   ],6,2
87,5.0,0.472,0.7610619469026548,[0.    0.688 1.   ],[0.    0.216 1.   ],7,2
88,5.0,0.48,0.75,[0.   0.72 1.  ],[0.   0.24 1.  ],8,2
89,5.0,0.39999999999999997,0.6893939393939393,[0.    0.728 1.   ],[0.    0.328 1.   ],9,2
90,7.0,0.44,0.697841726618705,[0.    0.776 1.   ],[0.    0.336 1.   ],0,2
91,7.0,0.35200000000000004,0.6466666666666667,[0.    0.776 1.   ],[0.    0.424 1.   ],1,2
92,7.0,0.36,0.6573426573426573,[0.    0.752 1.   ],[0.    0.392 1.   ],2,2
93,7.0,0.504,0.7266187050359713,[0.    0.808 1.   ],[0.    0.304 1.   ],3,2
94,7.0,0.384,0.6666666666666666,[0.    0.768 1.   ],[0.    0.384 1.   ],4,2
95,7.0,0.312,0.6638655462184875,[0.    0.632 1.   ],[0.   0.32 1.  ],5,2
96,7.0,0.44000000000000006,0.6950354609929078,[0.    0.784 1.   ],[0.    0.344 1.   ],6,2
97,7.0,0.336,0.64,[0.    0.768 1.   ],[0.    0.432 1.   ],7,2
98,7.0,0.46399999999999997,0.7265625,[0.    0.744 1.   ],[0.   0.28 1.  ],8,2
99,7.0,0.44800000000000006,0.6971830985915493,[0.    0.792 1.   ],[0.    0.344 1.   ],9,2
100,9.0,0.304,0.6283783783783784,[0.    0.744 1.   ],[0.   0.44 1.  ],0,2
101,9.0,0.34400000000000003,0.6387096774193549,[0.    0.792 1.   ],[0.    0.448 1.   ],1,2
102,9.0,0.408,0.6888888888888889,[0.    0.744 1.   ],[0.    0.336 1.   ],2,2
103,9.0,0.42400000000000004,0.6802721088435374,[0.  0.8 1. ],[0.    0.376 1.   ],3,2
104,9.0,0.352,0.6358024691358025,[0.    0.824 1.   ],[0.    0.472 1.   ],4,2
105,9.0,0.29599999999999993,0.6107784431137725,[0.    0.816 1.   ],[0.   0.52 1.  ],5,2
106,9.0,0.21599999999999997,0.5894039735099338,[0.    0.712 1.   ],[0.    0.496 1.   ],6,2
107,9.0,0.23199999999999998,0.5868263473053892,[0.    0.784 1.   ],[0.    0.552 1.   ],7,2
108,9.0,0.36000000000000004,0.6923076923076924,[0.    0.648 1.   ],[0.    0.288 1.   ],8,2
109,9.0,0.432,0.673076923076923,[0.   0.84 1.  ],[0.    0.408 1.   ],9,2
110,0.5,0.384,0.9137931034482759,[0.    0.424 1.   ],[0.   0.04 1.  ],0,3
111,0.5,0.16,0.6666666666666667,[0.   0.32 1.  ],[0.   0.16 1.  ],1,3
112,0.5,0.32799999999999996,0.9361702127659574,[0.    0.352 1.   ],[0.    0.024 1.   ],2,3
113,0.5,0.304,0.8275862068965517,[0.    0.384 1.   ],[0.   0.08 1.  ],3,3
114,0.5,0.152,0.6338028169014085,[0.   0.36 1.  ],[0.    0.208 1.   ],4,3
115,0.5,0.16799999999999998,0.9565217391304347,[0.    0.176 1.   ],[0.    0.008 1.   ],5,3
116,0.5,0.352,0.9782608695652174,[0.   0.36 1.  ],[0.    0.008 1.   ],6,3
117,0.5,0.24,0.9411764705882353,[0.    0.256 1.   ],[0.    0.016 1.   ],7,3
118,0.5,0.368,1.0,[0.    0.368 1.   ],[0. 0. 1.],8,3
119,0.5,0.288,0.9285714285714285,[0.    0.312 1.   ],[0.    0.024 1.   ],9,3
120,0.7,0.19200000000000003,0.7608695652173914,[0.   0.28 1.  ],[0.    0.088 1.   ],0,3
121,0.7,0.008000000000000007,0.5054945054945055,[0.    0.368 1.   ],[0.   0.36 1.  ],1,3
122,0.7,0.27199999999999996,0.7499999999999999,[0.    0.408 1.   ],[0.    0.136 1.   ],2,3
123,0.7,0.21600000000000003,0.813953488372093,[0.   0.28 1.  ],[0.    0.064 1.   ],3,3
124,0.7,0.22399999999999998,0.7916666666666666,[0.    0.304 1.   ],[0.   0.08 1.  ],4,3
125,0.7,0.24000000000000002,0.7777777777777778,[0.    0.336 1.   ],[0.    0.096 1.   ],5,3
126,0.7,0.144,0.6285714285714286,[0.    0.352 1.   ],[0.    0.208 1.   ],6,3
127,0.7,0.13600000000000004,0.660377358490566,[0.   0.28 1.  ],[0.    0.144 1.   ],7,3
128,0.7,0.096,0.6363636363636365,[0.    0.224 1.   ],[0.    0.128 1.   ],8,3
129,0.7,0.22400000000000003,0.7592592592592593,[0.    0.328 1.   ],[0.    0.104 1.   ],9,3
130,1.0,0.22399999999999998,0.8181818181818181,[0.    0.288 1.   ],[0.    0.064 1.   ],0,3
131,1.0,0.27999999999999997,0.9487179487179487,[0.    0.296 1.   ],[0.    0.016 1.   ],1,3
132,1.0,0.256,0.880952380952381,[0.    0.296 1.   ],[0.   0.04 1.  ],2,3
133,1.0,0.224,0.868421052631579,[0.    0.264 1.   ],[0.   0.04 1.  ],3,3
134,1.0,0.144,0.6551724137931034,[0.    0.304 1.   ],[0.   0.16 1.  ],4,3
135,1.0,0.16799999999999998,0.7692307692307692,[0.   0.24 1.  ],[0.    0.072 1.   ],5,3
136,1.0,0.35200000000000004,0.8928571428571429,[0.  0.4 1. ],[0.    0.048 1.   ],6,3
137,1.0,0.336,0.7999999999999999,[0.    0.448 1.   ],[0.    0.112 1.   ],7,3
