,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
203,7.0,0.656,0.7928571428571428,[0.    0.888 1.   ],[0.    0.232 1.   ],3,3
204,7.0,0.736,0.8382352941176471,[0.    0.912 1.   ],[0.    0.176 1.   ],4,3
205,7.0,0.744,0.8251748251748252,[0.    0.944 1.   ],[0.  0.2 1. ],5,3
206,7.0,0.728,0.8321167883211679,[0.    0.912 1.   ],[0.    0.184 1.   ],6,3
207,7.0,0.704,0.7894736842105263,[0.   0.96 1.  ],[0.    0.256 1.   ],7,3
208,7.0,0.68,0.793103448275862,[0.   0.92 1.  ],[0.   0.24 1.  ],8,3
209,7.0,0.728,0.8273381294964028,[0.   0.92 1.  ],[0.    0.192 1.   ],9,3
210,9.0,0.816,0.880597014925373,[0.    0.944 1.   ],[0.    0.128 1.   ],0,3
211,9.0,0.616,0.7692307692307692,[0.   0.88 1.  ],[0.    0.264 1.   ],1,3
212,9.0,0.688,0.8208955223880596,[0.   0.88 1.  ],[0.    0.192 1.   ],2,3
213,9.0,0.7919999999999999,0.851063829787234,[0.   0.96 1.  ],[0.    0.168 1.   ],3,3
214,9.0,0.7120000000000001,0.8156028368794326,[0.   0.92 1.  ],[0.    0.208 1.   ],4,3
215,9.0,0.728,0.8321167883211679,[0.    0.912 1.   ],[0.    0.184 1.   ],5,3
216,9.0,0.7280000000000001,0.8181818181818181,[0.    0.936 1.   ],[0.    0.208 1.   ],6,3
217,9.0,0.72,0.8308823529411764,[0.    0.904 1.   ],[0.    0.184 1.   ],7,3
218,9.0,0.784,0.8602941176470588,[0.    0.936 1.   ],[0.    0.152 1.   ],8,3
219,9.0,0.776,0.8439716312056738,[0.    0.952 1.   ],[0.    0.176 1.   ],9,3
