epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
7.0,0.1153846153846153,0.5555555555555556,[0.         0.57692308 1.        ],[0.         0.46153846 1.        ],4,2,nd-laplace-optimal-truncated
7.0,-0.0769230769230769,0.45,[0.         0.34615385 1.        ],[0.         0.42307692 1.        ],5,2,nd-laplace-optimal-truncated
7.0,0.2692307692307693,0.6,[0.         0.80769231 1.        ],[0.         0.53846154 1.        ],6,2,nd-laplace-optimal-truncated
7.0,-0.0769230769230769,0.4666666666666667,[0.         0.53846154 1.        ],[0.         0.61538462 1.        ],7,2,nd-laplace-optimal-truncated
7.0,0.2307692307692307,0.6000000000000001,[0.         0.69230769 1.        ],[0.         0.46153846 1.        ],8,2,nd-laplace-optimal-truncated
7.0,-0.1153846153846154,0.4482758620689655,[0.  0.5 1. ],[0.         0.61538462 1.        ],9,2,nd-laplace-optimal-truncated
9.0,0.3846153846153846,0.6666666666666666,[0.         0.76923077 1.        ],[0.         0.38461538 1.        ],0,2,nd-laplace-optimal-truncated
9.0,0.0769230769230769,0.5454545454545454,[0.         0.46153846 1.        ],[0.         0.38461538 1.        ],1,2,nd-laplace-optimal-truncated
9.0,0.1153846153846154,0.5405405405405406,[0.         0.76923077 1.        ],[0.         0.65384615 1.        ],2,2,nd-laplace-optimal-truncated
9.0,0.2307692307692307,0.6071428571428572,[0.         0.65384615 1.        ],[0.         0.42307692 1.        ],3,2,nd-laplace-optimal-truncated
9.0,0.2307692307692307,0.625,[0.         0.57692308 1.        ],[0.         0.34615385 1.        ],4,2,nd-laplace-optimal-truncated
9.0,0.1538461538461538,0.5434782608695653,[0.         0.96153846 1.        ],[0.         0.80769231 1.        ],5,2,nd-laplace-optimal-truncated
9.0,0.0,0.5,[0.         0.46153846 1.        ],[0.         0.46153846 1.        ],6,2,nd-laplace-optimal-truncated
9.0,0.1923076923076924,0.558139534883721,[0.         0.92307692 1.        ],[0.         0.73076923 1.        ],7,2,nd-laplace-optimal-truncated
9.0,0.2692307692307691,0.6521739130434783,[0.         0.57692308 1.        ],[0.         0.30769231 1.        ],8,2,nd-laplace-optimal-truncated
9.0,0.3461538461538462,0.6956521739130436,[0.         0.61538462 1.        ],[0.         0.26923077 1.        ],9,2,nd-laplace-optimal-truncated
0.1,0.0769230769230769,0.5625,[0.         0.34615385 1.        ],[0.         0.26923077 1.        ],0,3,nd-laplace-optimal-truncated
0.1,0.0384615384615384,0.5454545454545454,[0.         0.23076923 1.        ],[0.         0.19230769 1.        ],1,3,nd-laplace-optimal-truncated
0.1,0.2307692307692307,1.0,[0.         0.23076923 1.        ],[0. 0. 1.],2,3,nd-laplace-optimal-truncated
0.1,0.2307692307692307,0.8,[0.         0.30769231 1.        ],[0.         0.07692308 1.        ],3,3,nd-laplace-optimal-truncated
0.1,0.1538461538461538,0.75,[0.         0.23076923 1.        ],[0.         0.07692308 1.        ],4,3,nd-laplace-optimal-truncated
0.1,0.1538461538461538,0.6111111111111112,[0.         0.42307692 1.        ],[0.         0.26923077 1.        ],5,3,nd-laplace-optimal-truncated
0.1,0.0769230769230769,1.0,[0.         0.07692308 1.        ],[0. 0. 1.],6,3,nd-laplace-optimal-truncated
0.1,0.3461538461538461,0.9090909090909092,[0.         0.38461538 1.        ],[0.         0.03846154 1.        ],7,3,nd-laplace-optimal-truncated
0.1,0.0,0.5,[0.         0.23076923 1.        ],[0.         0.23076923 1.        ],8,3,nd-laplace-optimal-truncated
0.1,0.6923076923076923,1.0,[0.         0.69230769 1.        ],[0. 0. 1.],9,3,nd-laplace-optimal-truncated
0.5,0.2307692307692307,0.6666666666666667,[0.         0.46153846 1.        ],[0.         0.23076923 1.        ],0,3,nd-laplace-optimal-truncated
0.5,0.2307692307692307,0.65,[0.  0.5 1. ],[0.         0.26923077 1.        ],1,3,nd-laplace-optimal-truncated
0.5,0.2692307692307693,0.64,[0.         0.61538462 1.        ],[0.         0.34615385 1.        ],2,3,nd-laplace-optimal-truncated
0.5,0.1923076923076923,0.6666666666666666,[0.         0.38461538 1.        ],[0.         0.19230769 1.        ],3,3,nd-laplace-optimal-truncated
0.5,0.3846153846153846,0.7777777777777778,[0.         0.53846154 1.        ],[0.         0.15384615 1.        ],4,3,nd-laplace-optimal-truncated
0.5,0.2307692307692307,0.6875,[0.         0.42307692 1.        ],[0.         0.19230769 1.        ],5,3,nd-laplace-optimal-truncated
0.5,0.2307692307692307,0.8,[0.         0.30769231 1.        ],[0.         0.07692308 1.        ],6,3,nd-laplace-optimal-truncated
0.5,0.3461538461538462,0.6451612903225807,[0.         0.76923077 1.        ],[0.         0.42307692 1.        ],7,3,nd-laplace-optimal-truncated
0.5,0.1153846153846153,0.56,[0.         0.53846154 1.        ],[0.         0.42307692 1.        ],8,3,nd-laplace-optimal-truncated
0.5,0.3461538461538461,0.6799999999999999,[0.         0.65384615 1.        ],[0.         0.30769231 1.        ],9,3,nd-laplace-optimal-truncated
0.7,0.2692307692307691,0.6129032258064516,[0.         0.73076923 1.        ],[0.         0.46153846 1.        ],0,3,nd-laplace-optimal-truncated
0.7,0.0769230769230769,0.5833333333333333,[0.         0.26923077 1.        ],[0.         0.19230769 1.        ],1,3,nd-laplace-optimal-truncated
0.7,0.3846153846153846,0.7083333333333333,[0.         0.65384615 1.        ],[0.         0.26923077 1.        ],2,3,nd-laplace-optimal-truncated
0.7,0.2307692307692307,0.6363636363636364,[0.         0.53846154 1.        ],[0.         0.30769231 1.        ],3,3,nd-laplace-optimal-truncated
0.7,0.6923076923076923,0.9090909090909092,[0.         0.76923077 1.        ],[0.         0.07692308 1.        ],4,3,nd-laplace-optimal-truncated
0.7,0.1538461538461538,0.6111111111111112,[0.         0.42307692 1.        ],[0.         0.26923077 1.        ],5,3,nd-laplace-optimal-truncated
0.7,0.1538461538461538,0.625,[0.         0.38461538 1.        ],[0.         0.23076923 1.        ],6,3,nd-laplace-optimal-truncated
0.7,0.3461538461538461,0.7142857142857142,[0.         0.57692308 1.        ],[0.         0.23076923 1.        ],7,3,nd-laplace-optimal-truncated
0.7,0.423076923076923,0.7894736842105263,[0.         0.57692308 1.        ],[0.         0.15384615 1.        ],8,3,nd-laplace-optimal-truncated
0.7,0.1153846153846154,0.5517241379310345,[0.         0.61538462 1.        ],[0.  0.5 1. ],9,3,nd-laplace-optimal-truncated
1.0,0.4230769230769231,0.7200000000000001,[0.         0.69230769 1.        ],[0.         0.26923077 1.        ],0,3,nd-laplace-optimal-truncated
1.0,0.5,0.8095238095238095,[0.         0.65384615 1.        ],[0.         0.15384615 1.        ],1,3,nd-laplace-optimal-truncated
1.0,0.3076923076923076,0.6818181818181819,[0.         0.57692308 1.        ],[0.         0.26923077 1.        ],2,3,nd-laplace-optimal-truncated
1.0,0.2307692307692307,0.625,[0.         0.57692308 1.        ],[0.         0.34615385 1.        ],3,3,nd-laplace-optimal-truncated
1.0,0.1923076923076923,0.5757575757575758,[0.         0.73076923 1.        ],[0.         0.53846154 1.        ],4,3,nd-laplace-optimal-truncated
1.0,0.2307692307692307,0.6363636363636364,[0.         0.53846154 1.        ],[0.         0.30769231 1.        ],5,3,nd-laplace-optimal-truncated
1.0,0.3076923076923076,0.6818181818181819,[0.         0.57692308 1.        ],[0.         0.26923077 1.        ],6,3,nd-laplace-optimal-truncated
1.0,0.1923076923076923,0.5675675675675675,[0.         0.80769231 1.        ],[0.         0.61538462 1.        ],7,3,nd-laplace-optimal-truncated
1.0,0.4615384615384615,0.7307692307692307,[0.         0.73076923 1.        ],[0.         0.26923077 1.        ],8,3,nd-laplace-optimal-truncated
1.0,0.3076923076923077,0.625,[0.         0.76923077 1.        ],[0.         0.46153846 1.        ],9,3,nd-laplace-optimal-truncated
1.5,0.3076923076923077,0.6538461538461539,[0.         0.65384615 1.        ],[0.         0.34615385 1.        ],0,3,nd-laplace-optimal-truncated
1.5,0.5,0.7096774193548387,[0.         0.84615385 1.        ],[0.         0.34615385 1.        ],1,3,nd-laplace-optimal-truncated
1.5,0.2307692307692307,0.6153846153846154,[0.         0.61538462 1.        ],[0.         0.38461538 1.        ],2,3,nd-laplace-optimal-truncated
1.5,0.4230769230769231,0.6666666666666667,[0.         0.84615385 1.        ],[0.         0.42307692 1.        ],3,3,nd-laplace-optimal-truncated
1.5,0.3461538461538461,0.6799999999999999,[0.         0.65384615 1.        ],[0.         0.30769231 1.        ],4,3,nd-laplace-optimal-truncated
1.5,0.1153846153846153,0.5789473684210525,[0.         0.42307692 1.        ],[0.         0.30769231 1.        ],5,3,nd-laplace-optimal-truncated
1.5,0.2307692307692307,0.625,[0.         0.57692308 1.        ],[0.         0.34615385 1.        ],6,3,nd-laplace-optimal-truncated
1.5,0.3076923076923076,0.6818181818181819,[0.         0.57692308 1.        ],[0.         0.26923077 1.        ],7,3,nd-laplace-optimal-truncated
1.5,0.0,0.5,[0.         0.53846154 1.        ],[0.         0.53846154 1.        ],8,3,nd-laplace-optimal-truncated
1.5,0.1923076923076923,0.5806451612903226,[0.         0.69230769 1.        ],[0.  0.5 1. ],9,3,nd-laplace-optimal-truncated
2.0,0.3461538461538461,0.6551724137931034,[0.         0.73076923 1.        ],[0.         0.38461538 1.        ],0,3,nd-laplace-optimal-truncated
2.0,0.3461538461538461,0.6551724137931034,[0.         0.73076923 1.        ],[0.         0.38461538 1.        ],1,3,nd-laplace-optimal-truncated
2.0,0.3076923076923077,0.6176470588235294,[0.         0.80769231 1.        ],[0.  0.5 1. ],2,3,nd-laplace-optimal-truncated
2.0,0.2307692307692307,0.6875,[0.         0.42307692 1.        ],[0.         0.19230769 1.        ],3,3,nd-laplace-optimal-truncated
2.0,0.1538461538461538,0.5666666666666668,[0.         0.65384615 1.        ],[0.  0.5 1. ],4,3,nd-laplace-optimal-truncated
2.0,0.5,0.7241379310344828,[0.         0.80769231 1.        ],[0.         0.30769231 1.        ],5,3,nd-laplace-optimal-truncated
2.0,0.2692307692307691,0.6129032258064516,[0.         0.73076923 1.        ],[0.         0.46153846 1.        ],6,3,nd-laplace-optimal-truncated
2.0,0.1538461538461538,0.5625,[0.         0.69230769 1.        ],[0.         0.53846154 1.        ],7,3,nd-laplace-optimal-truncated
2.0,0.1538461538461538,0.5833333333333333,[0.         0.53846154 1.        ],[0.         0.38461538 1.        ],8,3,nd-laplace-optimal-truncated
2.0,0.1153846153846154,0.5454545454545455,[0.         0.69230769 1.        ],[0.         0.57692308 1.        ],9,3,nd-laplace-optimal-truncated
2.5,0.0384615384615385,0.5128205128205129,[0.         0.76923077 1.        ],[0.         0.73076923 1.        ],0,3,nd-laplace-optimal-truncated
2.5,0.0769230769230769,0.53125,[0.         0.65384615 1.        ],[0.         0.57692308 1.        ],1,3,nd-laplace-optimal-truncated
2.5,0.0384615384615384,0.5151515151515151,[0.         0.65384615 1.        ],[0.         0.61538462 1.        ],2,3,nd-laplace-optimal-truncated
2.5,0.2692307692307691,0.6129032258064516,[0.         0.73076923 1.        ],[0.         0.46153846 1.        ],3,3,nd-laplace-optimal-truncated
2.5,0.0,0.5,[0.         0.42307692 1.        ],[0.         0.42307692 1.        ],4,3,nd-laplace-optimal-truncated
2.5,0.0384615384615384,0.5142857142857142,[0.         0.69230769 1.        ],[0.         0.65384615 1.        ],5,3,nd-laplace-optimal-truncated
2.5,0.2307692307692307,0.5937499999999999,[0.         0.73076923 1.        ],[0.  0.5 1. ],6,3,nd-laplace-optimal-truncated
2.5,0.3076923076923077,0.6111111111111112,[0.         0.84615385 1.        ],[0.         0.53846154 1.        ],7,3,nd-laplace-optimal-truncated
2.5,0.2307692307692307,0.5750000000000001,[0.         0.88461538 1.        ],[0.         0.65384615 1.        ],8,3,nd-laplace-optimal-truncated
2.5,0.1923076923076923,0.5806451612903226,[0.         0.69230769 1.        ],[0.  0.5 1. ],9,3,nd-laplace-optimal-truncated
3.0,0.2692307692307693,0.64,[0.         0.61538462 1.        ],[0.         0.34615385 1.        ],0,3,nd-laplace-optimal-truncated
3.0,0.5384615384615385,0.75,[0.         0.80769231 1.        ],[0.         0.26923077 1.        ],1,3,nd-laplace-optimal-truncated
3.0,0.3461538461538461,0.6285714285714286,[0.         0.84615385 1.        ],[0.  0.5 1. ],2,3,nd-laplace-optimal-truncated
3.0,-0.0384615384615384,0.4857142857142857,[0.         0.65384615 1.        ],[0.         0.69230769 1.        ],3,3,nd-laplace-optimal-truncated
3.0,0.3076923076923077,0.625,[0.         0.76923077 1.        ],[0.         0.46153846 1.        ],4,3,nd-laplace-optimal-truncated
3.0,0.1538461538461538,0.5909090909090909,[0.  0.5 1. ],[0.         0.34615385 1.        ],5,3,nd-laplace-optimal-truncated
3.0,0.1538461538461538,0.5714285714285714,[0.         0.61538462 1.        ],[0.         0.46153846 1.        ],6,3,nd-laplace-optimal-truncated
3.0,0.1153846153846154,0.5405405405405406,[0.         0.76923077 1.        ],[0.         0.65384615 1.        ],7,3,nd-laplace-optimal-truncated
3.0,0.6153846153846153,0.8636363636363636,[0.         0.73076923 1.        ],[0.         0.11538462 1.        ],8,3,nd-laplace-optimal-truncated
